rid,title,english,synonyms,meaning,conjugation,likes,views,createdAt,updatedAt
3804,harambee!,pull together!,,"ni utamaduni wa Wakenya wa hafla za kujisaidia za jamii, n.k. shughuli za kutafuta fedha au maendeleo. Neno hilo linamaanisha ""kuvuta pamoja"", na ndio kauli mbiu rasmi ya Tanzania, inayoonekana kwenye kanzu yake ya silaha. Neno hilo liliingizwa kwa lugha ya Kiswahili kutoka Kihindi wakati wa ujenzi wa Reli ya Uganda kutoka Mombasa hadi Kampala. Wafanyakazi wa Kihindi walitumia kifungu ""har har Ambeh,"" au, ""hail Ambeh"" - himizo kwa Amba, mungu wa nguvu wa Kihindu - wakati wa kufanya kazi ngumu ambazo mara nyingi zinahitaji zaidi ya mtu mmoja kuhusika, kama vile kuinua mizigo mizito",,0,0,2023-02-19 13:59:42.598+00,2023-02-19 13:59:42.598+00
3805,haramia,pirate,gaidi wa baharini,mnyang''anyi wa baharini,,0,0,2023-02-19 13:59:42.598+00,2023-02-19 13:59:42.598+00
3806,harara,heat,mwako,"joto| vijipele vidogovidogo visababishwavyo na joto| michubuko iliyo katika mapaja ambayo husababishwa na joto| hamaki, mori, ghadhabu na uchungu",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3807,haribika,spoil,,"kuwa katika hali ya kutofanya kazi vyema, kuwa mbovu","haribikia, haribikika",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3808,haribifu,destructive,badhirifu,fujaji| -enye kubananga: Mtoto mharibifu ataadhibiwa vikali.,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3809,haramu,forbidden,batili,"-enye kwenda kinyume na kanuni za dini, -sio haki, -sio halali, -siyotii sheria",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3810,hari,heat,,hali ya hewa ya joto yenye kusababisha jasho na fukuto,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3811,harashi,rude,"fidhuli, maaluni",-enye utovu wa adabu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3812,haramisha,prohibit,,tia doa au dosari katika kitu ili kisikubaliwe kwa matumizi| tangaza kuwa kitu fulani ni haramu,"haramishia, haramishika, haramishwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3813,haribu,destroy,"boronga, vuruga, bomoa, paraganya","fanya kuwa mbovu sababisha isifae, fanya ishindwe kufanya kazi| potoa",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3814,harija,expenses,,gharama za matumizi ya shughuli mbalimbali,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3815,harija,long explanation,,maelezo marefu yasiyokwisha yanayozungukia hoja zilezile,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3816,hariji,finance,,"toa fedha za matumizi, toa fedha za kununulia bidhaa","harijia, harijiana, harijika, harijisha, harijiwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3817,hario!,hurray!,huree!,neno la kushangilia,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3818,harimuni,harmonium,kodiani,kinanda kinachobonyezwa na kuvutwa kwa mikono ili kutoa sauti : Katika sherehe za arusi ile harimuni ilichezwa ili kuwatumbuiza watu wote.,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3819,harioe!,welcome ship!,,tamko la kushangilia meli inayoingia bandarini,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3820,hariri,edit,,"fanya masahihisho ya uendelezaji wa maneno, sarufi na mfuatano wa mawazo kwenye maandishi","hariria, haririana, haririka, haririsha, haririwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3821,harisha,have diarrhea,endesha,enda choo cha majimaji,"harishia, harishika",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3822,harimu,women's quarters,mwanamke,mtu wa jinsia ya kike| mwanamke aliye mke wa mtu fulani,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3823,harita,soapberry,,"aina ya matunda ya kijani na umbo la mviringo yenye kokwa nyeusi ndani, yanapoiva huwa meusi na maganda yake hutumiwa kufulia nguo",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3824,hariri,silk,,nyuzi laini na nyembamba zinazotengenezwa na nondo wa hariri: Anauza vitambaa vya hariri.,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3825,harubu,war,"shida, mapigano, vita",taabu aipatayo mtu wakati fulani| mapambano ya silaha baina ya nchi au maadui,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3826,harufu,smell,rihi,hewa yenye kunuka au kunukia ya kitu fulani,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3827,haro,harrow,kaltiveta,chombo chenye meno mengi cha kuvunjavunja udongo uliokwatuliwa na trekta,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3828,harusi,wedding,,"sherehe ya ndoa inayofanyika wakati ndoa ikifungwa hadi kwenye hafla ambapo watu hula, hunywa na kucheza: Bwana harusi; Bibi harusi| furaha",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3829,hasa,especially,"barabara!, sawa!","tamko la kuafikiana na kuweka msisitizo, kwamba yaliyosemwa ni sahihi",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3830,hasa,invoke ancestors,"tambika, omba mizimu",omba faraji kutoka kwa mababu waliokwisha kufa,"hasia, hasika, hasisha, haswa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3831,hasada,sorghum drink,,kinywaji chepesi kilichotengenezwa kwa unga wa mtama; uji wa mtama,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3832,hasa,exactly,,"kweli kabisa, bila wasiwasi: Hayo ndiyo niliyasema hasa.",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3833,hasaisi,bad character,"uduni, udhaifu",hali ya kuwa na tabia mbaya| hali ya kutokuwa na nguvu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3834,hasama,conflict,"uadui, hasama",hali ya kukosa kupatana kwa sababu ya ugomvi,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3835,hasanati,good deeds,"wema, hisani",matendo mema,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3836,hasara,loss,,uharibifu wa mali| hali ya kupata mapato madogo ukilinganisha na gharama za mtaji na uendeshaji,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3837,hashakum!,excuse me!,,tamko la kuomba radhi kabla ya kutamka au kusema maneno yasiyo na staha au machafu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3838,hashashi,drug user,,"mtu anayevuta bangi, mtu anayetumia dawa za kulevya",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3839,hasha!,no way!,"la!, hapana!, asilani!, abadan!",tamko la kukataa,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3840,hashiri,gather,,"lete watu wengi mahali pamoja, kusanya watu","hashiria, hashiriana, hashirika, hashirisha, hashiriwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3841,hashishi,hashish,,dawa ya kulevya,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3842,hasho,plug,kizibo,kipande cha ubao au chuma cha kuzibia tundu au ufa katika chombo cha baharini| kipande cha mti au tambara la kuzibia tundu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3843,hashiri,rape,baka,ingilia mwanamke bila hiari yake,"hashiria, hashirika, hashirisha, hashiriwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3844,hashua,-,,,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3845,hashuo,habitual spot,,nafasi ambayo mtu amezoea sana kukaa,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3846,hashuo,show off,,jionyesha na kujishaua mbele za watu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3847,hasi,castrate,,"haribu mapumbu ya mnyama dume ili kumwondolea uwezo wa kuzaa, ondoa mapumbu","hasika, hasiwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3848,hasi,negative,,"enye mwelekeo wa kupinga, kushindwa, kukata tamaa, kukosa matumaini na kadhalika",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3849,hasidi,envious person,,"mtu aliye na wivu, mtu mwenye kijicho, mtu asiyefurahia mafanikio ya wengine, mtu mwenye husuda",hasideiwa,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3850,hasika,dislike,,kutopendezwa na kitu au jambo,"hasikia, hasikika, hasikisha",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3851,hasi,negative,,kiwango au thamani inayoelezwa kihesabu kuwa iko chini ya sufuri: Baridi ya Ulaya yaweza kufikia nyuzi hasi 30.,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3852,hasimu,enemy,mgomvi,"mtu aliye na ugomvi, chuki, au uadui na mtu mwingine: Juma ana mahasimu wengi wa kisiasa.| mtu mwenye kupenda kugombana na watu wengine| mpinzani katika fani mbalimbali kwa mfano michezo, siasa na kadhalika",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3853,hasira,anger,"ghadhabu, ghaidhi, mafutu, fundo, mori, ghamidha",hali ya kuwa na hamaki,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3854,hasimu,quarrel,"pigana, farakana",fanya ugomvi na watu wengine| vunja uhusiano na watu wengine kutokana na vitendo vya ugomvi,"hasimia, hasimiana, hasimisha, hasimiwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3855,hasiri,anger,,"fanya mtu awe na hasira, fanya mtu akasirike| fanya matendo ya kumdhuru au kumwumiza mtu kimwili na kiakili","hasiria, hasiriana, hasirika, hasirisha, hasiriwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3856,hasua,testicles,"kende, korodani, pumbu",gololi mbili zilizo katika fuko la nyama chini ya uume,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3857,hata,even,kamwe,pasipo kujaribu,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3858,hata,at least,"hadi, mpaka, walau","kiwango cha mwisho, kiwango cha ukomo| angalau, kwa kiasi kidogo, kwa uchechefu",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3859,hatamu,bridle,,kamba ya ngozi na kadhalika inayotumika kumwongozea farasi,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3860,hatari,danger,,"mazingira yanayoweza kusababisha hasara, uharibifu, madhara, ajali, maradhi na kadhalika",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3861,hatarisha,endanger,,"ingiza katika mazingira yanayoweza kumsababishia mtu hasara, uharibifu, madhara, ajali au maradhi","hatarishana, hatarishia, hatarishika, hatarishwa",0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3862,HATAZA,injunction,,hati ya kisheria yenye kumkataza mtu au kampuni isiige kazi ya mtu au kampuni nyingine iliyoigundua,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3863,hati,certificate,mwandiko,"waraka kwa mfano leseni, cheti, mkataba unaothibitisha jambo fulani lipo kisheria| namna mtu anavyoandika| herufi zinazotumika katika uandishi wa lugha fulani: Anajua kusoma hati ya Kiarabu.",,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3864,hatia,guilt,,kosa la kuvunja sheria za nchi,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3865,hatikiapo,oath,,kiapo anacholishwa mtu hasa mbele ya chombo chenye mamlaka kuthibitisha kuwa yanayosemwa ndiyo yatakayotendwa katika kutekeleza kile kinachotakiwa| kauli maandishi ambayo mtu huwa anakiri mbele ya mtu mwenye mamlaka ya kisheria kuthibitisha kuwa uthibiti,,0,0,2023-02-19 13:59:42.599+00,2023-02-19 13:59:42.599+00
3866,hatihati,uncertainty,tuhuma,hali ya kutokuwa na uhakika na jambo| fikira kwamba mtu amefanya jambo fulani bila uthibitisho| tetesi,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3867,hatibu,preacher,mhutubu,mtu anayehubiri| mtu mwenye cheo na anayeendesha mashtaka katika jamii ya Waswahili| mtu anayehutubu katika swala ya Ijumaa,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3868,hatima,end,,ukomo wa jambo fulani,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3869,hatimaye,finally,mwishowe,"mwishoni mwa yote, baada ya hayo yaliyotangulia, matokeo yake",,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3870,hatimiliki,title deed,,waraka wa kisheria unaompa mhusika haki ya kumiliki ardhi au mali nyingine,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3871,hatimkato,shorthand,,mtindo wa kuandika upesi na kwa kifupi kwa kutumia alama zinazoandikika haraka,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3872,hatinafsi,self-interest,"upendeleo, mapendeleo,  huba",jambo ambalo mtu hupendelea kulifanya bila ya kufuata taratibu zilizowekwa| jambo linalopendeza nafsi ya mtu,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3873,hau,brother,mjomba,mwanamume aliyezaliwa tumbo moja na mama,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3874,hatua,step,,nafasi inayokuwepo baina ya wayo mmoja wa mguu na wayo mwingine wakati wa kutembea| kipimo cha urefu kilicho kati ya wayo na wayo kinachokadiriwa kuwa yadi au mita moja: Alipopata hatua alitembelea wagonjwa.| tendo linalopasa kufanywa ili kurekebisha ja,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3875,hauli,memorial ceremony,,sherehe ya kumbukumbu ya kifo cha marehemu inayofanywa baada ya mwaka mmoja,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3876,hawa,these,,kiwakilishi cha ngeli ya kwanza wingi kinachodokeza kuwa viumbe wanaozungumziwa wako karibu na mzungumzaji: Hawa (watu) wametoka wapi?,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3877,hawaa,lust,"nyege, ashiki",hamu ya kutaka kufanya mapenzi,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3878,hawafu,coward,,mtu mwenye woga,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3879,hawafu,fearful,,-enye hofu; -enye ukunguru,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3880,hawaiji,many needs,,neno linalomaanisha haja nyingi katika ushairi,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3881,hawaji,turmeric,bizari,unga wa manjano unaotumiwa kuwa kiungo cha mchuzi,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3882,hawala,bank draft,hundi,hati ya benki inayokuwezesha kupata fedha,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3883,hawara,lover,kimada,mwanamke au mwanamume mwenye uhusiano wa kimapenzi nje ya ndoa,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3884,hawili,transfer,hamisha,toa kitu au mtu kutoka eneo moja la makazi na kumpeleka kwenye eneo jingine : Mkurugenzi wa manispaa huwahawili wafanyakazi kila mara.,"hawilia, hawiliana, hawilika, hawilisha, hawilishwa",0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3885,hawilisha,transfer,,hamisha,"hawilishana, hawilishia, hawilishika, hawilishwa",0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3886,hawilisho,transfer,,kitu kilichohamishwa| uhamisho,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3887,hawinde,very poor person,"hohehahe, fukara",mtu aliye maskini sana,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3888,haya,shame,"fedheha, soni",hali ya kutoweza kumwangalia mtu machoni| aibu| hali ya kusita kufanya jambo kwa ajili ya kumheshimu mtu mwingine| hali ya mtu kuwa na hofu kwamba jambo alilofanya la fedheha limejulikana na mtu mwingine,,0,0,2023-02-19 13:59:42.6+00,2023-02-19 13:59:42.6+00
3889,haya,these,,kionyeshi cha ngeli ya tatu wingi kinachodokeza kuwa vitu vipo karibu na mzungumzaji: Haya ni matamu. Haya hayakufai.,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3890,haya!,okay!,"vyema, ndiyo",sawa| tamko la kutayarisha watu ili wafanye jambo: Haya tuondokeni!,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3891,hayati,late,,mtu aliyekwisha fariki: Hayati Kimbute alikuwa mzee wa baraza.,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3892,hayawani,animal,"mpuuzi, baradhuli, mwendawazimu, katili","mnyama wa porini| mtu mwenye tabia za kinyama| mwehu, kichaa",,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3893,haza,warn,"asa, kanya, onya",kataza mtu kutenda jambo kwa kuwa kuna hatari inayoweza kutokea,"hazana, hazia, hazika, hazisha, hazwa",0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3894,hazahaza,persuade,,sihi mtu asitoe habari kwa watu au asiendeleze uhasama,"hazahazia, hazahazika, hazahazisha",0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3895,hayo,those,,kiwakilishi kionyeshi cha ngeli ya [li-/ya-] wingi: Hayo ni (matofali) ya kuje-ngea bweni lililoungua.,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3896,hazama,nose ornament,"kishaufu, shemere",pambo ambalo huvaliwa na wanawake kwenye uti wa pua| kikuku cha puani kinachovishwa mnyama kwa mfano ng''ombe,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3897,hazina,treasury,,vitu vya thamani vilivyohifadhiwa mahali pa salama| idara ya serikali ambapo shughuli zinazohusiana na fedha za serikali huendeshwa| mali iliyowekwa mahali pa siri,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3898,hazini,treasure,,tunza mali vizuri,"hazinia, hazinika, hazinisha, haziniwa",0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3899,he!,hey!,,neno la kuonyesha kutofurahishwa na jambo lililofanyika| tamko la kutahadharisha mtu| tamko la kuonyesha dharau| mshangao,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3900,hebo!,-,,,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3901,hebu,come on,,tamko linalotamkwa kumtaka mwingine amakinike na jambo: Hebu! Nipite. Hebu! Sikiliza anachosema.,,0,0,2023-02-19 13:59:42.601+00,2023-02-19 13:59:42.601+00
3902,hedashara,eleven,,idadi ya vitu kumi uongeze moja,,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3903,hedhi,menstruation,,"kipindi au muda katika kila mwezi ambapo mwanamke mwenye umri wa kuzaa hutokwa na damu kwenye uke ili kuanza mzunguko mwingine wa yai la uzazi; : kuwa na hedhi, patwa na hedhi </font></i></font> ingia mwezini",,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3904,hebu!,listen!,,tamko la kumtaka mtu akusikilize: Hebu! Ulisemaje?,,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3905,hekaya,folktale,"maajabu, muujiza, shani, ajabu, kituko","mapokeo simulizi ya kubuni, hadithi zenye visa vya kubuni: Hekaya za Abunuwasi.| jambo la kuajabia",,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3906,hekalu,temple,,jengo linalotumiwa na Mayahudi na Mabaniani kufanyia ibada,,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3907,hekima,wisdom,busara,akili inayomwezesha mtu kufikiri na kuweza kutoa uamuzi unaofaa| maarifa ya kufikiri na kuamua jambo linalofaa ambayo mtu huyapata kutokana na uzoefu wa muda mrefu,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3908,hekaheka,restlessness,"ghasia, fujo, shamrashamra",mambo yanayomshughulisha sana mtu hata kumfanya asitulie| hali ya kutokuwepo kwa utulivu,,0,0,2023-02-19 13:59:42.678+00,2023-02-19 13:59:42.678+00
3909,hejimonia,hegemony,,dhana inayoeleza kuwepo kwa utawala wa kikundi kimoja juu ya kingine hivi kwamba kikundi tawala kinakubaliwa na watawaliwa bila matumizi ya nguvu,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3910,hekemua,stretch,piga chafya,nyoosha viungo vya mwili kutokana na uchovu| toa hewa chafu kwa nguvu kwa kupitia puani,"hekemuka, hekemulia, hekemusha",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3911,hekta,hectare,,kipimo cha ukubwa wa eneo katika ardhi ambacho ni sawa na eka 2.47,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3912,hela,money,"fedha, faranga, pesa, fulusi, senti",sarafu au noti iliyoidhinishwa na serikali kama malipo halali kwa ajili ya kubadilishana na bidhaa zinazonunuliwa,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3913,hela!,beware!,"tahadhari!, angalia!",tamko la kumfanya mtu awe na hadhari,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3914,heko!,bravo!,,tamko la kupongeza: Heko kwa kufaulu.,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3915,heleleza,astonish,shangaza,"fanya mtu abaki ameshangaa, shikiza mtu butwaa","helelezana, helelezea, helelezeka, helelezesha, helelezwa",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3916,helikopta,helicopter,,"ndege isiyokuwa na magurudumu, yenye panga juu yake ambalo likizunguka huiwezesha kupaa na inaweza kutua popote nchi kavu",,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3917,helmeti,helmet,,"kofia ya chuma au plastiki ya kukinga kichwa kisiumizwe na ambayo huvaliwa na waendesha pikipiki, wachimba migodi na hata askari wakiwa vitani",,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3918,hema,tent,,"kibanda kilichotengenezwa kwa karatasi gumu, kitambaa au ngozi kitumiwacho hasa na wasafiri",,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3919,hema,pant,tua,"pumua kwa sauti na kwa kasi baada ya kupanda mlima kwa nguvu, kukimbia au kufanya kazi yoyote nzito| pumzika",hemesha,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3920,hemea,search for food,"hemera, shindwa",enda mahali kutafuta chakula kutokana na njaa| choka kwa kufanya kazi nyingi| pitwa na mambo,"hemelea, hemesha, hemka",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3921,hemera,search for food,,enda mahali kutafuta chakula kutokana na njaa: Chungu hawa wanakwenda kuhemera.,"hemerea, hemereka, hemeresha",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3922,hemka,be aroused,,"pandwa na hasira au hamu, pandwa na jazba","hemkia, hemkika, hemkisha",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3923,hemofilia,hemophilia,,hali ya kitabibu ambapo damu hukosa uwezo wa kuganda na kuweza kusababisha damu kutoka kwa wingi iwapo mtu amepata mkwaruzo hata kama ni mdogo,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3924,hendeli,handle,,"mtaimbo wa kuanzisha mashine au gari, chuma cha kubadili mwendo wa chombo kwa mfano motokaa",,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3925,henezi,leisurely,"polepole, asteaste",bila ya haraka: Zungumza naye kwa henezi na mtasikilizana.,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3926,henza,halyard,,"kamba ya kupandishia na kuteremshia tanga au bendera katika jahazi, kamba ya kufungia foromali",,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3927,henzirani,switch,"mkwaju, ubati, bakora, fimbo",kipande cha mti (mhenzirani) ambacho ni chembamba na hutumiwa hasa kwa kumpigia mtu au mnyama,,0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3928,hepa,avoid,kwepa,epuka jambo lolote la hatari au la kuleta madhara,"hepana, hepea, hepeka, hepesha, hepwa",0,0,2023-02-19 13:59:42.679+00,2023-02-19 13:59:42.679+00
3929,hereni,earring,"kipuli, bali, nti",pambo la mwanamke la fedha au dhahabu linalovaliwa masikioni,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3930,heri,blessing,,"kuwepo kwa amani, utulivu na usalama| hali ya kupata baraka na mafanikio; : Mtu wa heri -> mtu aletaye habari njema| kielezi afadhali",,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3931,heria,anchor,,"tia nanga bandarini, ufukweni au gatini kwa chombo cha majini","heriana, herika, herilia, herisha, heriwa",0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3932,heria!,make way!,"habedari!, simile!",tamko la kutaka nafasi ya kupita linalotumiwa na makuli bandarini,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3933,hero,wooden spoon,,chombo kidogo cha mbao kinachotumika kupakulia chakula,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3934,heroe,heron,flamingo,ndege mrefu mwenye miguu na shingo ndefu,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3935,heroini,heroin,,aina mojawapo ya dawa za kulevya ambayo watumiaji hutumia kwa njia ya kujidunga sindano,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3936,herufi,letter,mwandiko,"alama inayowakilisha sauti kwa mfano :  a, b, ch, d, e  -> na kadhalika ambayo ikiunganishwa na sauti nyingine huunda neno; : Herufi a, i na m huunda maneno ima, ami na mia. ->| hati",,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
3937,hesabu,calculation,,idadi ya vitu vilivyopo| maelezo ya mapato na matumizi ya fedha: Hesabu ya Mwaka.| tawi la somo la hisabati linalohusu tarakimu,,0,0,2023-02-19 13:59:42.68+00,2023-02-19 13:59:42.68+00
